date,ticker,price
2026-01-01,AAPL,150.49671415301123
2026-01-02,AAPL,150.35844985184005
2026-01-03,AAPL,151.00613838994073
2026-01-04,AAPL,152.52916824634877
2026-01-05,AAPL,152.29501487162543
2026-01-06,AAPL,152.06087791467624
2026-01-07,AAPL,153.64009073018363
2026-01-08,AAPL,154.40752545933654
2026-01-09,AAPL,153.9380510734016
2026-01-10,AAPL,154.48061111698757
2026-01-11,AAPL,154.0171934241751
2026-01-12,AAPL,153.55146367060485
2026-01-13,AAPL,153.79342594217087
2026-01-14,AAPL,151.8801456975131
2026-01-15,AAPL,150.15522786500006
2026-01-16,AAPL,149.59294033575907
2026-01-17,AAPL,148.58010921542464
2026-01-18,AAPL,148.8943565480199
2026-01-19,AAPL,147.9863324724987
2026-01-20,AAPL,146.57402877116343
